observation_mode,observation_noise,n_sensors,model,active_mae_mean,active_mae_std,test_mae_mean,active_fraction_mean,events_mean,first_index_mean,n
event_traces,0.0001,4,snnplus,0.0019230072310500001,5.247688215702773e-06,0.0019230072310500001,1.0,512.0,0.0,3
event_traces,0.0001,8,convmultiplus,0.0017222219582533331,1.0200336258389143e-05,0.0017222219582533331,1.0,1024.0,0.0,3
event_traces,0.0001,8,fnobase,0.0017699546806933333,4.282678408836987e-05,0.0017699546806933333,1.0,1024.0,0.0,3
event_traces,0.0001,8,snn,0.0018854270290833332,0.00013483688133337227,0.0018854270290833332,1.0,1024.0,0.0,3
event_traces,0.0001,8,snnplus,0.0017466915870533331,1.3198212671748274e-05,0.0017466915870533331,1.0,1024.0,0.0,3
event_traces,0.0001,12,convmultiplus,0.0010227274470273333,3.2177096600337376e-05,0.0010227274470273333,1.0,1536.0,0.0,3
event_traces,0.0001,12,fnobase,0.0012467489176433333,5.737477357588061e-05,0.0012467489176433333,1.0,1536.0,0.0,3
event_traces,0.0001,12,snn,0.0014022329887566666,5.793755397518768e-05,0.0014022329887566666,1.0,1536.0,0.0,3
event_traces,0.0001,12,snnplus,0.00119898762837,1.4231330941551384e-05,0.00119898762837,1.0,1536.0,0.0,3
event_traces,0.001,0,convmultiplus,0.000594060990079,2.97942871042955e-05,0.000594060990079,1.0,25600.0,0.0,3
event_traces,0.001,0,fnobase,0.0007585545121189999,7.626892612641434e-05,0.0007585545121189999,1.0,25600.0,0.0,3
event_traces,0.001,0,snn,0.00139609727066,5.157704357660818e-05,0.00139609727066,1.0,25600.0,0.0,3
event_traces,0.001,0,snnplus,0.0006418287467543333,4.9098208861271516e-05,0.0006418287467543333,1.0,25600.0,0.0,3
event_traces,0.001,4,convmultiplus,0.0019110470282666667,1.4801628089667803e-06,0.0019110470282666667,1.0,512.0,0.0,3
event_traces,0.001,4,fnobase,0.0020803073600233336,0.00019553937537996434,0.0020803073600233336,1.0,512.0,0.0,3
event_traces,0.001,4,snn,0.0025097334701799996,0.00021679907912427923,0.0025097334701799996,1.0,512.0,0.0,3
event_traces,0.001,4,snnplus,0.001958107167546667,7.923263184335172e-05,0.001958107167546667,1.0,512.0,0.0,3
event_traces,0.001,8,convmultiplus,0.0017232992357966669,1.162970903638455e-05,0.0017232992357966669,1.0,1024.0,0.0,3
event_traces,0.001,8,fnobase,0.0017662057300399999,1.9947331577048093e-05,0.0017662057300399999,1.0,1024.0,0.0,3
event_traces,0.001,8,snn,0.0018931195385733332,9.70354826976449e-05,0.0018931195385733332,1.0,1024.0,0.0,3
event_traces,0.001,8,snnplus,0.0018242132508166666,2.621391400553273e-05,0.0018242132508166666,1.0,1024.0,0.0,3
event_traces,0.001,12,convmultiplus,0.0010199179212556665,3.177882203367904e-05,0.0010199179212556665,1.0,1536.0,0.0,3
event_traces,0.001,12,fnobase,0.00123669281537,5.7237975788534075e-05,0.00123669281537,1.0,1536.0,0.0,3
event_traces,0.001,12,snn,0.0014505589852433333,0.00013350473392433998,0.0014505589852433333,1.0,1536.0,0.0,3
event_traces,0.001,12,snnplus,0.0012922686077166668,5.7018689525406026e-05,0.0012922686077166668,1.0,1536.0,0.0,3
